engine	nb.particles	cycle.time
d3	10000	1245
d3	10000	1145
d3	10000	1096
d3	20000	1471
d3	20000	1424
d3	20000	1385
d3	20000	1249
d3	20000	1256
d3	20000	1363
d3	20000	1230
d3	20000	1398
d3	20000	1375
d3	20000	1414
d3	20000	1217
d3	20000	1375
d3	20000	1352
d3	20000	1289
d3	20000	1341
d3	20000	1417
d3	20000	1323
d3	20000	1439
d3	20000	1224
d3	20000	1372
d3	20000	1331
d3	20000	1519
d3	20000	1192
d3	20000	1393
d3	20000	1400
d3	20000	1389
d3	20000	1292
d3	5000	1086
d3	5000	1070
d3	5000	1072
d3	5000	1122
d3	5000	1086
d3	5000	1077
d3	5000	1067
d3	5000	1047
d3	5000	1026
d3	5000	1072
d3	5000	1135
d3	5000	1068
d3	5000	1091
d3	5000	1090
d3	5000	1033
d3	5000	1039
d3	5000	1071
d3	5000	1038
d3	5000	1035
d3	5000	1069
d3	5000	1075
d3	5000	1203
d3	5000	1138
d3	5000	1089
d3	5000	1047
d3	5000	1049
d3	5000	1099
d3	5000	1069
d3	5000	1057
d3	5000	1091
d3	5000	1089
d3	5000	1038
d3	5000	1036
d3	5000	1096
d3	5000	1057
d3	5000	1096
d3	5000	1036
d3	5000	1100
pixi	1	1003
pixi	1	1002
pixi	1	1001
pixi	1	1002
pixi	1	1003
pixi	1	1001
pixi	1	1002
pixi	1	1003
pixi	1	1002
pixi	1	1003
pixi	1	1001
pixi	1	1002
pixi	1	1001
pixi	1	1002
pixi	1	1002
pixi	1	1001
pixi	1	1000
pixi	1	1001
pixi	1	1000
pixi	1	1001
pixi	1	1000
pixi	1	1001
pixi	1	1000
pixi	1	1001
pixi	1	1002
pixi	1	1001
pixi	1	1002
pixi	1	1003
pixi	1	1001
pixi	1	1003
pixi	1	1001
pixi	1	1002
pixi	1	1001
pixi	1	1002
pixi	1	1001
pixi	1	1003
pixi	1	1002
pixi	1	1003
pixi	1	1001
pixi	1	1002
pixi	1	1001
pixi	1	1003
pixi	1	1002
pixi	1	1003
pixi	1	1002
pixi	1	1001
pixi	10	1001
pixi	10	1003
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1001
pixi	10	1003
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1001
pixi	10	1002
pixi	10	1003
pixi	10	1002
pixi	100	1001
pixi	100	1003
pixi	100	1002
pixi	100	1004
pixi	100	1003
pixi	100	1001
pixi	100	1002
pixi	100	1003
pixi	100	1004
pixi	100	1002
pixi	100	1003
pixi	100	1004
pixi	100	1002
pixi	100	1001
pixi	100	1002
pixi	100	1003
pixi	100	1002
pixi	100	1003
pixi	100	1002
pixi	100	1003
pixi	100	1002
pixi	100	1001
pixi	100	1002
pixi	100	1003
pixi	100	1004
pixi	100	1003
pixi	100	1001
pixi	100	1002
pixi	1000	1006
pixi	1000	1004
pixi	1000	1005
pixi	1000	1006
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1006
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1006
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1003
pixi	1000	1004
pixi	1000	1003
pixi	1000	1005
pixi	1000	1006
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1003
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1007
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	1000	1004
pixi	1000	1005
pixi	10000	1030
pixi	10000	1034
pixi	10000	1028
pixi	10000	1039
pixi	10000	1030
pixi	10000	1037
pixi	10000	1028
pixi	10000	1034
pixi	10000	1031
pixi	10000	1044
pixi	10000	1030
pixi	10000	1038
pixi	10000	1033
pixi	10000	1031
pixi	10000	1036
pixi	10000	1033
pixi	10000	1030
pixi	10000	1029
pixi	10000	1028
pixi	10000	1045
pixi	10000	1036
pixi	10000	1035
pixi	10000	1032
pixi	10000	1039
pixi	10000	1040
pixi	10000	1031
pixi	10000	1041
pixi	10000	1032
pixi	10000	1035
pixi	10000	1029
pixi	10000	1042
pixi	10000	1029
pixi	10000	1039
pixi	10000	1045
pixi	10000	1049
pixi	10000	1036
pixi	10000	1039
pixi	10000	1044
pixi	10000	1040
pixi	10000	1038
pixi	10000	1030
pixi	10000	1035
pixi	20000	1083
pixi	20000	1067
pixi	20000	1077
pixi	20000	1081
pixi	20000	1075
pixi	20000	1073
pixi	20000	1069
pixi	20000	1076
pixi	20000	1107
pixi	20000	1067
pixi	20000	1072
pixi	20000	1078
pixi	20000	1073
pixi	20000	1068
pixi	20000	1073
pixi	20000	1076
pixi	20000	1068
pixi	20000	1074
pixi	20000	1068
pixi	20000	1070
pixi	20000	1078
pixi	20000	1070
pixi	20000	1069
pixi	20000	1068
pixi	20000	1067
pixi	20000	1082
pixi	20000	1065
pixi	20000	1067
pixi	20000	1072
pixi	20000	1066
pixi	20000	1071
pixi	20000	1076
pixi	20000	1069
